Song_artist,Song_duration_weeks,Song_isNew,Song_last_week,Song_peak,Song_rank,Song_title,categoryId,channelId,channelTitle,commentCount,dislikeCount,favoriteCount,likeCount,title,videoId,viewCount
Drake,6,FALSE,2,1,2,Nice For What,10,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,90561,118310,0,2101719,Drake - Nice For What,U9BwWKXjVaI,286056017
Drake,17,FALSE,3,1,3,God's Plan,10,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,530477,347065,0,9164628,Drake - God's Plan,xpVfcZ0ZcFM,915080968
Post Malone Featuring Ty Dolla $ign,12,FALSE,4,2,4,Psycho,10,UCOhtMAg7xh8wv_wUHMgFc-Q,PostMaloneVEVO,98003,142202,0,3200895,Post Malone - Psycho ft. Ty Dolla $ign,au2n7VVGv_c,474175795
Bebe Rexha & Florida Georgia Line,30,FALSE,5,2,5,Meant To Be,10,UC5-gWZXAQqSGVfPHkA7NRiQ,Bebe Rexha,80894,176559,0,2979823,Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video],zDo0H8Fm7d0,676182215
"Zedd, Maren Morris & Grey",16,FALSE,6,5,6,The Middle,10,UCi0LydWaEUy3Vx8flL29ebQ,SyrebralVibes,57307,45683,0,953980,"Zedd, Grey - The Middle (Lyrics) ft. Maren Morris",xQzS3JnZQZM,219180438
Ariana Grande,4,FALSE,10,3,7,No Tears Left To Cry,10,UC0VOyT2OCBKdQhF3BAbZ-1g,ArianaGrandeVevo,353693,273635,0,5334403,Ariana Grande - no tears left to cry,ffxKSjUwKdU,699152783
BlocBoy JB Featuring Drake,14,FALSE,7,5,8,Look Alive,10,UCpDdVTGPTiF0Vp6ieXWb1Ig,BlocBoy JB,74627,86269,0,1750285,"BlocBoy JB & Drake ""Look Alive"" Prod By: Tay Keith (Official Music Video) Shot By: @Fredrivk_Ali",NV-3s2wwC8c,252486529
Camila Cabello,22,FALSE,8,6,9,Never Be The Same,10,UCk0wwaFCIkxwSfi6gpRqQUw,CamilaCabelloVEVO,81556,75079,0,1777262,Camila Cabello - Never Be the Same (Official Music Video),Ph54wQG8ynk,175792712
Ed Sheeran,38,FALSE,9,1,10,Perfect,10,UCvR2R7j218tzejtTsb_X6Rw,DopeLyrics,91655,142526,0,2124507,Perfect - Ed Sheeran (Lyrics),UDDMYw_IZnE,604769022
Ella Mai,7,FALSE,17,11,11,Boo'd Up,10,UCdVlI3zsHhvKKH4OEQVHyHA,EllaMaiVEVO,84883,136503,0,1904928,Ella Mai - Boo'd Up,6YNZlXfW6Ho,311434525
